#{"t_start": 1757611876.3384564, "env_id": "None"}
r,l,t
-70.0,5,2.273011
-95.0,5,2.274164
-120.0,5,2.275459
-120.0,5,2.27651
-120.0,5,2.27765
-120.0,5,2.278651
-70.0,5,2.27963
-70.0,5,2.280622
-120.0,5,2.281651
-95.0,5,2.282611
-70.0,5,2.283818
-70.0,5,2.28478
-95.0,5,2.285785
-95.0,5,2.286747
-95.0,5,2.28774
-95.0,5,2.288739
-95.0,5,2.289933
-95.0,5,2.291042
-120.0,5,2.292018
-95.0,5,2.292975
-95.0,5,2.619295
-120.0,5,2.622907
-120.0,5,2.625955
-95.0,5,2.628916
-70.0,5,2.633907
-95.0,5,2.637046
-70.0,5,2.640088
-70.0,5,2.643025
-120.0,5,2.661427
-95.0,5,2.665281
-95.0,5,2.668632
-70.0,5,2.671593
-70.0,5,2.676711
-120.0,5,2.681555
-95.0,5,2.684889
-95.0,5,2.688023
-120.0,5,2.693624
-70.0,5,2.696575
-120.0,5,2.699585
-120.0,5,2.702558
-120.0,5,2.707672
-120.0,5,2.710593
-120.0,5,2.714475
-95.0,5,2.719015
-120.0,5,2.724414
-95.0,5,2.727434
-70.0,5,2.730721
-120.0,5,2.734033
-70.0,5,2.738939
-120.0,5,2.741885
-120.0,5,2.745472
-70.0,5,2.748378
-95.0,5,2.753529
-95.0,5,2.757023
-120.0,5,2.761975
-70.0,5,2.765049
-70.0,5,2.770434
-70.0,5,2.773393
-95.0,5,2.776705
-95.0,5,2.779583
-95.0,5,2.784629
-95.0,5,2.787641
-95.0,5,2.790738
-120.0,5,2.795505
-95.0,5,2.804304
-120.0,5,2.811241
-95.0,5,2.815564
-70.0,5,2.819065
-95.0,5,2.825486
-95.0,5,2.829216
-95.0,5,2.832793
-120.0,5,2.836029
-95.0,5,2.842615
-70.0,5,2.84746
-95.0,5,2.850667
-70.0,5,2.855645
-70.0,5,2.861947
-95.0,5,2.865187
-120.0,5,2.868929
-95.0,5,2.873297
-95.0,5,2.879056
-95.0,5,2.882855
-95.0,5,2.887505
-95.0,5,2.891393
-120.0,5,2.897053
-120.0,5,2.900303
-95.0,5,2.906377
-120.0,5,2.914575
-120.0,5,2.923191
-70.0,5,2.92925
-95.0,5,2.93733
-95.0,5,2.941425
-120.0,5,2.948128
-95.0,5,2.951651
-120.0,5,2.955732
-120.0,5,2.960097
-120.0,5,2.966957
-120.0,5,2.973295
-70.0,5,2.981623
-120.0,5,2.986177
-95.0,5,2.992273
-120.0,5,2.996042
-95.0,5,3.000144
-70.0,5,3.005178
-120.0,5,3.012024
-95.0,5,3.015897
-70.0,5,3.019259
-95.0,5,3.026089
-95.0,5,3.03258
-95.0,5,3.036357
-95.0,5,3.040899
-95.0,5,3.045229
-120.0,5,3.051599
-120.0,5,3.056235
-70.0,5,3.06067
-95.0,5,3.064247
-70.0,5,3.070012
-120.0,5,3.073839
-70.0,5,3.076854
-95.0,5,3.080234
-70.0,5,3.08608
-120.0,5,3.089348
-95.0,5,3.092722
-95.0,5,3.097597
-95.0,5,3.103263
-95.0,5,3.106231
-95.0,5,3.109215
-95.0,5,3.112861
-95.0,5,3.118154
-95.0,5,3.121187
-120.0,5,3.12561
-120.0,5,3.129722
-120.0,5,3.137729
-70.0,5,3.141154
-120.0,5,3.144886
-95.0,5,3.147908
-120.0,5,3.153711
-95.0,5,3.157216
-120.0,5,3.160446
-120.0,5,3.163911
-120.0,5,3.169239
-95.0,5,3.172589
-95.0,5,3.176277
-120.0,5,3.181774
-95.0,5,3.18812
-95.0,5,3.191338
-95.0,5,3.194767
-95.0,5,3.198125
